Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,nr_pairs_,nr_steps_,linear_stddev,angular_stddev,lambda,final_inflation
RL,16,0.9773402677446715,0.11321244786884978,0.6174074411392212,7.464098655768571,0.5930420845875508,1,1.1720911444515099,0.11394916381018931,1.893375039100647,3.0312256813049316,464,19,0.14913198351860046,0.1463802456855774,0.3646512031555176,0.6174074411392212
RL,17,1.1720911444515099,0.11394916381018931,0.5366204380989075,6.964367829651683,0.49973082611688824,1,0.9384385849702871,0.0032298466922482103,1.6258662939071655,3.030430316925049,439,19,0.14458820223808289,0.13537360727787018,0.19909191131591797,0.5366204380989075
RL,18,0.9384385849702871,0.0032298466922482103,0.5791848301887512,6.371196161830534,0.5931716678211485,1,1.163860692493878,-0.00813906310527452,1.909329891204834,3.248617649078369,423,22,0.1562613546848297,0.16437630355358124,0.3708515167236328,0.5791848301887512
RL,19,1.163860692493878,-0.00813906310527452,0.6566314697265625,5.727332743133078,0.6438634186974559,1,1.2674356800929034,-0.04964210420327622,2.128726005554199,3.351687431335449,418,20,0.15112300217151642,0.14309577643871307,0.3601877689361572,0.6566314697265625
RL,20,1.2674356800929034,-0.04964210420327622,0.605816662311554,4.865159548839496,0.8621731942935824,1,2.0099394052770636,-0.08317492697774294,2.1296000480651855,3.0585808753967285,448,21,0.16124480962753296,0.14161790907382965,0.49640965461730957,0.605816662311554
HB,21,1.9997084638938711,-0.015376022830687796,0.627617359161377,13.84118317729796,0.7398536680286796,1,1.2127085291992026,0.00864815987743358,2.0,0.11491658832031897,600,20,0.1548285037279129,0.15046632289886475,0.8897159099578857,0.8897159
HB,22,1.2127085291992026,0.00864815987743358,0.665495753288269,13.224163484910651,0.6170196923873092,1,1.1449060650809977,-0.011315960138248465,1.9632944674072277,0.22247918579182416,600,28,0.1479732096195221,0.13325618207454681,0.7199668884277344,0.39999999999999997
HB,23,1.1449060650809977,-0.011315960138248465,0.6468926072120667,12.719207582784895,0.5049559021257561,1,0.7882066819730933,-0.017036236807993002,1.763844893299435,0.4404527572650395,800,31,0.14941629767417908,0.15057268738746643,0.13713383674621582,0.32114015102386473
HB,24,0.7882066819730933,-0.017036236807993002,0.5693106651306152,12.37657859963465,0.34262898315024515,1,0.6000722915989166,-0.12156136622761131,1.3645027652036466,0.668288013445961,800,38,0.147247314453125,0.1374754011631012,0.18994855880737305,0.2817826733589172
HB,25,0.6024251100688087,-0.11393731974126964,0.5635560154914856,12.022899977982533,0.35367862165211683,1,0.5157653140750174,-0.25705276601239363,1.5776334590977266,0.8614954837821658,800,34,0.1588684320449829,0.13921403884887695,1.019395351409912,0.317247871351242
HB,26,0.5157653140750174,-0.25705276601239363,0.5368297100067139,11.733691320942228,0.2892086570403052,1,0.44670136281233025,-0.012521320810997959,1.3257494144927833,1.024366293522584,800,31,0.14824777841567993,0.15615034103393555,1.5861859321594238,0.3420735099458694
HB,27,0.44670136281233025,-0.012521320810997959,0.5829995274543762,11.526248758350711,0.20744256259151683,1,0.40532725252797197,-0.29947919329615713,1.3309793455272123,1.1549255044546198,800,35,0.1275474727153778,0.1628192961215973,0.35463380813598633,0.34584159940290443
HB,28,0.40532725252797197,-0.29947919329615713,0.12378613650798798,11.343617525264184,0.18263123308652673,1,0.35375521443531377,-0.24989916161409567,0.9983231822498124,1.2669457673441085,800,37,0.16223904490470886,0.14417234063148499,3.9738855361938477,0.36208911958203305
HB,29,0.3450726966581691,-0.45859509910537555,0.3107703924179077,11.061425861995115,0.14378595609186462,1,0.3658663183900924,-0.2473031076931625,0.8267065742811835,1.3978365435782887,800,35,0.09888831526041031,0.1272825002670288,0.9371076822280884,0.38142366859519616
HB,30,0.34055579822454696,-0.06688929061969187,0.6611385345458984,10.848336440417183,0.10510268389959165,1,0.3407888523960784,-0.008695249004748568,0.741492016641953,1.4732687418920567,800,38,0.04953096807003021,0.09948568046092987,1.2412889003753662,0.39089759761164605
HB,31,0.27982669102801055,0.329170972959215,0.08333456516265869,10.65837217555695,0.09915063026130788,1,0.24239541626373864,0.516311771984147,0.6307606771267693,1.566592043533769,800,34,0.14439888298511505,0.169094979763031,1.055237889289856,0.3955398228297065
HB,32,0.11376557913359893,0.0025531957087143488,0.5851038098335266,10.464098804816606,0.04935886410337176,0,0.10134440720633106,0.7394442579758677,0.681562949488612,1.7475499108395744,800,34,0.15156289935112,0.15264207124710083,2.753561019897461,0.39847015923058926
HB,33,0.1102021516238724,1.1518210851682633,0.5949205756187439,10.240849161572257,0.10097289872057935,1,0.3458718468272481,-0.006734388109577912,0.6480275377501972,1.7201762305764547,800,36,0.15208688378334045,0.15838994085788727,0.44815540313720703,0.39947526461609206
HB,34,0.3828678646954089,-0.1319450861524264,0.6271420121192932,9.966070515725178,0.1398983309075703,1,0.36345571008878197,-0.21976348506235205,0.6872646630492214,1.6103010668322355,800,39,0.1445847600698471,0.14793208241462708,0.6434121131896973,0.3997428796618851
HB,35,0.3270011631569232,-0.40004293378049915,0.10823006927967072,9.667779905858913,0.16138495329046343,1,0.40672047535904865,0.0010974742602286869,1.226826351736725,1.554799006920237,800,39,0.08778472989797592,0.04966340214014053,4.393434047698975,0.3998740110343237
HB,36,0.40672047535904865,0.0010974742602286869,0.056571364402770996,9.429009516799752,0.2387703890591606,1,0.5722998903504395,-0.3347750277662098,1.882010424605023,1.4594393487039903,800,34,0.13566854596138,0.029424048960208893,1.9430761337280273,0.39991180772402657
