rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,timeout_count,timeout_percentage,success_count,success_percentage,collision_count,collision_percentage
25,269,16.448175168037416,0.48588637816592134,8.323454518145919,16.646909036291838,100.0,20,,,20,100.0,,
26,287,16.108319878578186,0.4744428137228251,8.847497810521983,17.694995621043965,100.0,20,,,20,100.0,,
27,268,16.058575892448424,0.46330150797257746,7.9633017399039305,15.926603479807861,100.0,20,,,20,100.0,,
28,294,15.98652720451355,0.45085070734232546,8.354561196527735,16.70912239305547,95.0,20,1.0,5.0,19,95.0,,
29,273,15.785457301139832,0.48921153411438345,8.295293525994884,16.59058705198977,100.0,20,,,20,100.0,,
30,275,15.457678747177123,0.45474009224342443,7.8943366863836335,15.788673372767267,95.0,20,,,19,95.0,1.0,5.0
31,288,15.121066236495972,0.4954831251402245,8.737428075710579,17.474856151421157,100.0,20,,,20,100.0,,
32,254,14.967280769348145,0.5,8.33224593736164,16.66449187472328,100.0,20,,,20,100.0,,
33,250,14.855799999999999,0.4822953952381237,7.753303522955292,15.506607045910584,100.0,20,,,20,100.0,,
34,243,14.574399999999986,0.4710475115795173,9.356510006073563,18.713020012147126,95.0,20,,,19,95.0,1.0,5.0
35,271,14.463423466682434,0.5,8.165381987256646,16.330763974513292,100.0,20,,,20,100.0,,
36,297,14.392978715896607,0.5,8.52148258782277,17.04296517564554,100.0,20,,,20,100.0,,
37,298,13.947119760513306,0.5,8.106571309300643,16.213142618601285,100.0,20,,,20,100.0,,
38,261,13.735188031196595,0.5,7.765555727768904,15.531111455537808,100.0,20,,,20,100.0,,
39,272,13.712377119064332,0.5,7.807594374204567,15.615188748409134,100.0,20,,,20,100.0,,
40,277,13.595800280570984,0.5,7.886322483789956,15.772644967579913,100.0,20,,,20,100.0,,
41,283,13.490323090553284,0.4931236109832161,8.311734071433687,16.623468142867374,100.0,20,,,20,100.0,,
42,289,13.198857092857361,0.4686702059632334,8.613547727195883,17.227095454391765,95.0,20,1.0,5.0,19,95.0,,
43,280,12.990091013908387,0.4922656242140703,8.853620965466657,17.707241930933314,100.0,20,,,20,100.0,,
44,286,12.926263618469239,0.5,8.971466874714967,17.942933749429933,100.0,20,,,20,100.0,,
45,290,12.901027417182922,0.48920659737920075,8.275645178163701,16.551290356327403,100.0,20,,,20,100.0,,
46,256,12.720129704475402,0.5,7.793534657942992,15.587069315885984,100.0,20,,,20,100.0,,
47,251,12.68766188621521,0.5,7.899231110637826,15.798462221275653,100.0,20,,,20,100.0,,
48,4,12.667999999999989,0.5,8.464083865192757,16.928167730385514,100.0,20,,,20,100.0,,
49,292,12.24342839717865,0.5,8.361463272894046,16.72292654578809,100.0,20,,,20,100.0,,
50,284,12.073726987838745,0.5,7.979150391499104,15.958300782998208,100.0,20,,,20,100.0,,
51,276,12.05970995426178,0.5,8.72162034896996,17.44324069793992,100.0,20,,,20,100.0,,
52,281,11.711425709724427,0.5,8.749209458056024,17.498418916112048,100.0,20,,,20,100.0,,
53,282,11.10386836528778,0.5,8.49516132628872,16.99032265257744,100.0,20,,,20,100.0,,
54,249,10.933899999999996,0.5,8.132012906001638,16.264025812003275,100.0,20,,,20,100.0,,
55,246,10.898499999999995,0.4980610857993487,7.9228666372242715,15.845733274448543,100.0,20,,,20,100.0,,
56,1,10.507200000000008,0.475,8.713553561324947,17.427107122649893,95.0,20,,,19,95.0,1.0,5.0
57,267,10.028318858146667,0.4993142173336455,7.851284298580888,15.702568597161775,100.0,20,,,20,100.0,,
58,0,9.392500000000009,0.4731808968320775,9.290439832359997,18.580879664719994,95.0,20,,,19,95.0,1.0,5.0
59,5,9.3826,0.5,8.392357062104931,16.784714124209863,100.0,20,,,20,100.0,,
60,247,9.090800000000002,0.5,8.397443524808834,16.794887049617667,100.0,20,,,20,100.0,,
61,244,8.7757,0.5,7.888583797445757,15.777167594891514,100.0,20,,,20,100.0,,
62,3,8.723600000000005,0.5,8.473409770319563,16.946819540639126,100.0,20,,,20,100.0,,
63,6,8.626499999999997,0.4997646423879797,8.732012906001637,17.464025812003275,100.0,20,,,20,100.0,,
64,7,8.098000000000003,0.5,8.648529762737898,17.297059525475795,100.0,20,,,20,100.0,,
65,8,7.416800000000002,0.5,8.10975908271148,16.21951816542296,100.0,20,,,20,100.0,,
66,2,6.123500000000002,0.5,8.815555727768901,17.631111455537802,100.0,20,,,20,100.0,,
