rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,success_count,success_percentage,timeout_count,timeout_percentage,flip_count,flip_percentage
66,295,42.11260000000001,0.15208050480515262,5.601883334850752,11.203766669701505,85.0,20,17.0,85.0,2.0,10.0,1.0,5.0
67,105,41.97250000000004,0.11361652754790012,5.536232546488139,11.072465092976278,60.0,20,12.0,60.0,8.0,40.0,,
68,262,41.45800000000001,0.16596843164983177,5.500141794905875,11.00028358981175,95.0,20,19.0,95.0,1.0,5.0,,
69,245,40.7866,0.14078270183614536,5.585239037632293,11.170478075264587,80.0,20,16.0,80.0,3.0,15.0,1.0,5.0
70,273,40.659999999999975,0.14882302527533,5.906608121390098,11.813216242780197,85.0,20,17.0,85.0,1.0,5.0,2.0,10.0
71,66,40.25559999999998,0.13533124456933546,5.3373307843760305,10.674661568752061,60.0,20,12.0,60.0,8.0,40.0,,
72,107,39.77869999999999,0.16208546834494125,5.935333109922771,11.870666219845543,65.0,20,13.0,65.0,7.0,35.0,,
73,180,39.1023,0.1708160885223071,5.679088551727051,11.358177103454102,100.0,20,20.0,100.0,,,,
74,279,38.896900000000024,0.1644592622923708,6.347424364408184,12.694848728816368,80.0,20,16.0,80.0,4.0,20.0,,
75,132,38.875899999999994,0.14606379152033389,5.431775869548867,10.863551739097733,85.0,20,17.0,85.0,3.0,15.0,,
76,153,38.652800000000006,0.20472493974161549,5.81954252468705,11.6390850493741,65.0,20,13.0,65.0,5.0,25.0,2.0,10.0
77,82,38.210199999999986,0.2094256162828278,6.6397895103713465,13.279579020742693,65.0,20,13.0,65.0,7.0,35.0,,
78,208,37.8615,0.16379978991419736,5.8919794257796205,11.783958851559241,90.0,20,18.0,90.0,1.0,5.0,1.0,5.0
79,165,37.770100000000006,0.19162538944475316,5.46429311294619,10.92858622589238,100.0,20,20.0,100.0,,,,
80,242,37.685900000000004,0.13512234346582147,5.468183713687421,10.936367427374842,65.0,20,13.0,65.0,7.0,35.0,,
81,219,37.59260000000002,0.1375645508076883,6.115763252122108,12.231526504244217,65.0,20,13.0,65.0,7.0,35.0,,
82,196,37.062299999999986,0.16951506306915443,5.332654536656301,10.665309073312603,100.0,20,20.0,100.0,,,,
83,191,36.627700000000004,0.1610591383931928,6.065507563203479,12.131015126406957,60.0,20,12.0,60.0,7.0,35.0,1.0,5.0
84,48,36.1556,0.18528484091997977,5.62000906088498,11.24001812176996,85.0,20,17.0,85.0,2.0,10.0,1.0,5.0
85,263,36.08049999999998,0.17535842723615705,5.6123135904392045,11.224627180878409,90.0,20,18.0,90.0,2.0,10.0,,
86,33,36.0478,0.16148623168258572,6.251921544727312,12.503843089454625,65.0,20,13.0,65.0,6.0,30.0,1.0,5.0
87,76,36.03009999999999,0.2012143151578482,5.367637230596808,10.735274461193615,75.0,20,15.0,75.0,5.0,25.0,,
88,137,35.8147,0.177406266981638,5.516602393555416,11.033204787110831,90.0,20,18.0,90.0,,,2.0,10.0
89,120,35.5981,0.1422524456203608,5.724237989794743,11.448475979589485,75.0,20,15.0,75.0,5.0,25.0,,
90,288,35.29010000000004,0.19124579632112673,6.243137193105493,12.486274386210987,85.0,20,17.0,85.0,2.0,10.0,1.0,5.0
91,190,35.207200000000014,0.167060632544243,5.482115704255462,10.964231408510924,90.0,20,18.0,90.0,2.0,10.0,,
92,266,34.3337,0.17554095172230516,6.5637547615641925,13.127509523128385,80.0,20,16.0,80.0,4.0,20.0,,
93,85,34.26099999999998,0.18251060811750544,5.4320759430780985,10.864151886156197,80.0,20,16.0,80.0,3.0,15.0,1.0,5.0
94,162,34.16719999999999,0.16789050890319734,5.4197468098349,10.8394936196698,75.0,20,15.0,75.0,4.0,20.0,1.0,5.0
95,194,34.11030000000001,0.1714501540709636,5.4920409860983455,10.984081972196691,95.0,20,19.0,95.0,,,1.0,5.0
96,179,33.446899999999985,0.15254836055310844,5.414412288743993,10.828824577487985,75.0,20,15.0,75.0,4.0,20.0,1.0,5.0
97,142,33.101199999999984,0.20222904166512876,5.544723504353568,11.089447008707136,90.0,20,18.0,90.0,2.0,10.0,,
98,168,33.04790000000002,0.20099120005196558,5.847888921931128,11.695777843862256,90.0,20,18.0,90.0,,,2.0,10.0
99,289,33.03619999999998,0.23129327624992985,6.191518356352117,12.383036712704234,90.0,20,18.0,90.0,2.0,10.0,,
100,297,32.99260000000003,0.18018752207484515,6.099453216979006,12.198906433958012,80.0,20,16.0,80.0,3.0,15.0,1.0,5.0
101,216,32.87049999999999,0.1827171127791621,5.592854660904658,11.185709321809316,85.0,20,17.0,85.0,3.0,15.0,,
102,199,32.28119999999998,0.21392327783122314,5.970408743418096,11.940817486836192,100.0,20,20.0,100.0,,,,
103,21,31.879700000000003,0.22285320337612835,5.731952471473693,11.463904942947385,100.0,20,20.0,100.0,,,,
